Serial,SID,Time,Draft,IP Address,UID,Username,Given Name,Family name,E-mail,Phone,Phone (alternate),Gender,Gender (please specify),Birth year ,Preference of student mentee gender,24-Sep,25-Sep,2-Oct,Additional comments re availability,Working in industry,Working in academia,Working for a startup,Self-employed,Retired,Other (please specify),Employment status (other),Current employer,Current job title,Years of CS-related work experience,Highest level of education,Education (other),CS areas of interest,Hobbies and interests,CS Alumni/ae,Additional questions or comments
7,316,2014/07/30 - 6:46pm,0,,,,Aaron,Yoo   ,Yoo.Aaron@smile.dm,604-9578608,604-9156437,Identify as male,,1967,No preference,First Choice,Second Choice,Third Choice,Anytime probably works at this point,X,,,,,,,A Thinking Ape,"CTO, Co-Founder",20+ years,Bachelor's,,"Mobile, Big Data, Games, Entertainment, Agile Development, Complex systems","Games, Sports (playing and watching)",X,
48,430,2014/08/06 - 9:34am,0,,,,Aditya,Khan,Khan.Aditya@smile.dm,604-3180274,604-5548089,Identify as male,,1981,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,District of North Vancouver,Application Analyst,11-15 years,Bachelor's,,"software engineering as a process, financial systems, php, web applications","Hiking, kayaking, climbing, snowshoeing, snowboarding",X,
6,314,2014/07/30 - 6:10pm,0,,,,Afshin,Pahlavi,Pahlavi.Afshin@smile.dm,604-2973373,778-7410297,Identify as male,,1976,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,Tasktop Technologies,Sr. Software Engineer,6-10 years,PhD,,"Programming languages, Software engineering, Open source","Snow boarding, Rock climbing, Japanese language",X,
56,472,2014/08/11 - 1:35pm,0,,,,Alex,Mun,Mun.Alex@smile.dm,604-6687929,604-2757822,Identify as male,,1980,No preference,First Choice,Second Choice,Third Choice,Any of the days are fine with me,X,,,,,,,Global Relay,Security Architect,6-10 years,Bachelor's,,"Security, Networking, Cloud Design, Compilers","Snowboarding, Hiking, Camping, Cars, Formula SAE",,
94,662,2014/09/05 - 10:43pm,0,,,,Alfred,Seo,Seo.Alfred@smile.dm,604-9504010,,Identify as male,,,Match with female students only,First Choice,Second Choice,Third Choice,,X,,,,,,,ChipWorX,engineer,6-10 years,Master's,,"distributed systems, networking, embedded systems","tennis, photography, resistance training.",X,
2,310,2014/07/30 - 5:13pm,0,,,,Amir,Ghasemi,Ghasemi.Amir@smile.dm,778-7377203,,Identify as male,,1982,No preference,Not Avail.,Not Avail.,Not Avail.,I live in Seattle.,X,,,,,,,Adobe,Computer Scientist,6-10 years,Bachelor's,,,,X,
46,428,2014/08/06 - 8:07am,0,,,,Andrew,Cai,Cai.Andrew@smile.dm,778-8301699,778-7426164,Identify as male,,1980,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,ResponseTek,Software Development Manager,6-10 years,Bachelor's,,"Databases,
Software Engineering methodologies
Design
.NET
C#",hockey,X,
14,323,2014/07/30 - 10:44pm,0,,,,Andy,Yoon,Yoon.Andy@smile.dm,604-6454881,,Identify as male,,1957,No preference,Not Avail.,First Choice,Second Choice,,,,,X,,,,,President,20+ years,Bachelor's,,"Applied, database, business, process, systems","Travel, skiing, hiking, walking, running, biking, photography, jazz",X,
30,342,2014/08/01 - 7:33am,0,,,,Arjun,Singh,Singh.Arjun@smile.dm,604-3094292,,Identify as male,,1982,No preference,Not Avail.,Not Avail.,Not Avail.,"Since I work in Seattle, I cannot make mid-week evening events.",X,,,,,,,Amazon,Software Development Manager,6-10 years,Bachelor's,,"database, data mining","aviation, guitar, travel",X,
32,344,2014/08/01 - 10:08am,0,,,,Arthur,Song,Song.Arthur@smile.dm,604-2705674,,Identify as male,,1950,No preference,First Choice,Second Choice,Third Choice,,,,,,X,,,,,20+ years,Bachelor's,,"programming languages, software development management, software development lifecycles, large systems development, employee motivation, 3D printing","travel, some sports, the state of capitalism",X,
96,676,2014/09/11 - 9:36pm,0,,,,Axel,Lowen,Lowen.Axel@smile.dm,778-3745807,,Identify as male,,,No preference,First Choice,Not Avail.,Not Avail.,,,,,,X,,,,,20+ years,Master's,,"Application, software and enterprise architecture, information modelling, workflow, document management, data and business analysis, user experience and usability design, domain driven design, product management, SDLC, product marketing, bridging the gap between business and technology","philosophy, social justice, cooking, music and various sports",X,keen interest in sharing industry and life experiences particularly in ways that can help students gain new perspectives in areas of interest to them in a mentoring or counselling role.
33,346,2014/08/01 - 1:22pm,0,,,,Barry,Browne,Browne.Barry@smile.dm,604-2990002,,Identify as male,,,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,Woodsmore Lumber Mills,Business Analyst / Project Manager,6-10 years,Master's,,"Big Data, Cloud Computing, Mobile, ERP","Golf, Public Speaking, Foodie, Soccer, Squash, Travel",X,
36,390,2014/08/02 - 4:32pm,0,,,,Benjamin,Rhim,Rhim.Benjamin@smile.dm,778-6873172,,Identify as male,,1960,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,Stealth Co Canada,Senior Bids & Proposals Manager,20+ years,Bachelor's,,"Human Machine Interface, GUI, Networking","Photography, Travelling",X,
93,660,2014/09/05 - 12:22am,0,,,,Brett,Katz,Katz.Brett@smile.dm,604-7744514,,Identify as male,,1986,No preference,Third Choice,First Choice,Second Choice,,X,,,,,,,Amazon,Software Engineer,6-10 years,Bachelor's,,"Scalable Architecture, Database, Artificial Intelligence, Data Mining.","Board Game, Hiking",X,
27,338,2014/07/31 - 6:57pm,0,,,,Cabriel,Devi,Devi.Cabriel@smile.dm,778-4318183,,Identify as male,,1949,No preference,First Choice,Second Choice,Third Choice,I may be out of town and will advise.,X,,X,,,,,CalcuCorp,CEO,20+ years,Master's,,"computability theory, programming languages, algorithms, database design, implementation models","reading, writing experimental software, tai chi, movies, walking, hockey fan",X,
67,556,2014/08/18 - 5:31pm,0,,,,Caitlin,Tran,Tran.Caitlin@smile.dm,778-9016743,,Identify as female,,1962,Match with female students only,First Choice,Second Choice,Not Avail.,,X,,,,,,,AuctionHouse International,Sr Data/Information Architect,16-20 years,Bachelor's,,"Database and Datawarehouse Design, Data Modeling, Data Architectures, Business Intelligence and Business Analytics","Sailing, hiking",X,"I hold a certificate in  Project Management from UBC Sauder School of Business.
 My preference is to work with the female student because there are so few women in this area of expertise , however , if there are no female students available I would be happy to take a male mentee. "
85,621,2014/08/27 - 11:36am,0,,,,Cedric,Yung,Yung.Cedric@smile.dm,778-4853853,,Identify as male,,1959,No preference,First Choice,Second Choice,Third Choice,,,X,,,,,,Langara College,Senior Instructor,20+ years,PhD,,"operating systems, computer networking","photography, biking, hiking",X,
66,555,2014/08/18 - 5:29pm,0,,,,Charles,Jang,Jang.Charles@smile.dm,604-2596574,,Identify as male,,1984,No preference,Not Avail.,First Choice,Second Choice,Pending my schedule because I may be in Victoria,X,,,,,,,KPMG,Consultant,0-2 years,Bachelor's,,"Database, Cloud, BI","Playing badminton, watching hockey, Eco cars, mobile technologies.",X,
84,618,2014/08/26 - 12:04pm,0,,,,Cherry,Achuya,Achuya.Cherry@smile.dm,604-9479903,,Identify as female,,1980,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,QwickMedia,Design Lead,11-15 years,Bachelor's,,"Touchscreen software, interactive retail, gestures, mobile, design ",,,
31,343,2014/08/01 - 9:19am,0,,,,Chris,McKinsey,McKinsey.Chris@smile.dm,604-5441381,778-7609732,Identify as male,,,No preference,Second Choice,First Choice,Third Choice,,X,,,,,,,TELUS,Security Consultant,3-5 years,Bachelor's,,"Security Vulnerability Management, Big Data (Hadoop), Software Design & Development","Hiking, Swimming, Travelling",X,
54,463,2014/08/10 - 8:09pm,0,,,,Damian,Stewart,Stewart.Damian@smile.dm,778-2600090,604-2739964,Identify as male,,1981,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,Telus,Senior Project Manager,6-10 years,Bachelor's,,"Project management,entrepreneurship, user interface design, information security","Skiing, volleyball, squash,  swimming, hiking",,
58,483,2014/08/12 - 10:32pm,0,,,,Daniel,Choi,Choi.Daniel@smile.dm,604-7293128,,Identify as male,,1971,Match with male students only,Third Choice,First Choice,Second Choice,,X,,,,,,,Absoute Software,Application Engineer,16-20 years,Master's,,"operating systems, distributed systems, networking, software engineering
","photography, Mac computers, cycling",X,
95,666,2014/09/08 - 1:47pm,0,,,,Danny,Rodriguez,Rodriguez.Danny@smile.dm,778-9258924,,Identify as male,,1965,No preference,First Choice,Third Choice,Second Choice,,X,,X,,,,,Mastle Corporation,Director of Product Development,20+ years,Bachelor's,,"Web, UI, SaaS","Mountain biking, road biking, photography",X,
59,489,2014/08/14 - 12:22am,0,,,,Darrel,MacAteer,MacAteer.Darrel@smile.dm,604-3280741,,Identify as male,,,No preference,First Choice,Second Choice,Second Choice,,X,,,,,,,Lionize Technologies,CTO,20+ years,Bachelor's,,"Big Data, 
distributed systems, 
Hadoop, 
functional programming,
hardware architecture","world history, mathematics, music",X,
57,478,2014/08/12 - 7:05am,0,,,,Debbie,Morin,Morin.Debbie@smile.dm,778-9681213,778-5630080,Identify as female,,,No preference,Second Choice,Third Choice,First Choice,,X,,,,,,,BitCo Solutions,Strategic Solutions Manager,3-5 years,Bachelor's,,"Business analyst, solution architecture, consulting, cloud based solutions","Hiking, swimming, yoga, coffee, teaching kids code",X,
68,557,2014/08/18 - 7:26pm,0,,,,Diego,Cruz,Cruz.Diego@smile.dm,604-6333326,,Identify as male,,1985,Match with female students only,Not Avail.,Not Avail.,Not Avail.,"Work in Seattle, but open to skype call with mentee during the kickoff or around the kickoff time.",X,,,,,,,Microsoft,Program Manager,3-5 years,Master's,,"Human Computer Interaction, HCI, Computer Vision, Artificial Intelligence, User Experience","Technology, start ups, entrepreneurship, food, music",X,
74,565,2014/08/19 - 11:55am,0,,,,Dillon,Mori,Mori.Dillon@smile.dm,604-6446646,604-9126980,Identify as male,,1983,No preference,First Choice,Second Choice,Not Avail.,,,X,,,,,,UBC,Senior Instructor,3-5 years,PhD,,"Machine learning, Data mining, Security, Cloud Computing","Swimming, watching movies, ",,
